0BSFd001	0BSFd002	0BSFd003	0BSFd004	0BSFd005	0BSFd006	0BSFd007	0BSFd008	0BSFd009	0BSFd010	0BSFd011	0BSFd012	0BSFd013	0BSFd014	0BSFd015	0BSFd016	0BSFd017	0BSFd018	0BSFd019	0BSFd020	0BSFd021	0BSFd022	0BSFd023	0BSFd024	0BSFd025
sq1;size=34829;	4	0	3	14677	1	3	6	1922	105	2	8028	103	805	7225	2	206	6	23	7	3	1680	10	7	0	1
sq2;size=11455;	3	0	0	395	0	1	0	494	1189	1	386	1776	134	732	3	2243	1	1561	0	1	1089	0	0	1442	4
sq3;size=9618;	1	0	0	693	2	2	0	541	2118	1	646	2221	61	678	0	546	0	984	0	0	829	0	0	295	0
sq4;size=8545;	2	1	0	547	1	0	0	567	1769	0	427	1039	310	392	0	669	1	1466	4	0	1173	1	2	174	0
sq5;size=8466;	0	0	1	3179	1	0	0	762	0	0	1858	39	253	2056	0	61	2	4	0	0	248	0	1	1	0
sq6;size=8455;	0	0	0	804	0	1	0	339	1927	0	712	2009	17	472	1	155	2	882	0	1	592	0	0	541	0
sq7;size=8069;	0	0	0	2736	0	0	0	1344	13	0	1715	36	460	1238	0	42	2	73	0	0	407	0	2	0	1
sq8;size=7220;	0	0	0	121	0	0	0	42	510	0	117	486	1317	170	0	2892	0	629	3	0	6	0	0	926	1
sq9;size=7005;	0	0	0	2820	0	0	0	517	2	0	2228	24	35	944	0	7	0	39	0	0	388	0	0	0	1
sq10;size=5914;	1	1	0	421	0	0	0	785	753	0	371	724	0	681	3	256	1	933	1	0	939	0	3	41	0
sq11;size=5515;	0	0	0	2128	0	0	0	84	0	0	1892	0	11	812	0	31	2	0	0	0	555	0	0	0	0
sq12;size=5422;	0	0	0	391	2	0	0	391	516	0	371	464	818	73	0	1262	0	408	5	0	298	0	0	423	0
sq13;size=5369;	0	0	0	304	0	0	0	276	659	0	247	580	446	301	1	408	0	871	2	0	1009	0	0	261	4
sq14;size=5159;	0	2	0	189	0	0	0	494	1193	0	92	511	496	646	0	494	2	429	0	0	256	0	0	354	1
sq15;size=5011;	0	0	0	608	0	0	0	428	442	0	619	621	23	39	0	541	0	192	0	0	1045	0	3	450	0
sq16;size=4618;	1	0	0	226	0	0	0	102	580	0	263	1144	295	73	1	521	0	269	1	0	288	0	0	854	0
sq17;size=4595;	0	0	0	189	0	0	0	54	298	0	146	419	1202	31	0	916	0	277	2	0	553	1	0	507	0
sq18;size=4590;	0	0	0	546	0	0	0	1106	60	0	519	31	12	1539	0	71	1	199	0	0	490	0	2	14	0
sq19;size=4477;	0	0	0	48	1	1	0	96	471	0	39	173	170	455	0	1996	0	763	5	0	61	0	0	198	0
sq20;size=4386;	1	0	0	171	2	0	0	513	450	0	186	521	43	523	1	429	0	1011	3	0	341	0	2	187	2
sq21;size=4262;	0	0	0	1405	0	0	0	295	6	0	1411	5	93	208	0	0	0	11	0	0	827	0	0	1	0
sq22;size=4049;	0	0	0	802	0	0	0	708	51	0	801	114	100	601	0	56	0	78	0	0	738	0	0	0	0
sq23;size=4027;	156	216	112	334	179	104	120	277	131	172	242	167	179	87	26	137	49	141	113	388	176	85	82	136	218
sq24;size=3758;	0	0	0	169	1	0	0	563	351	0	131	284	2	1465	0	121	1	423	0	0	191	0	6	48	2
sq25;size=3711;	1	0	0	131	0	0	0	112	521	0	142	470	104	200	0	447	2	976	1	0	382	0	1	221	0
sq26;size=3677;	0	0	1	519	0	0	0	170	321	0	323	588	387	1	3	335	0	154	0	0	415	0	0	459	1
sq27;size=3610;	0	0	0	353	0	0	0	276	673	0	214	703	120	301	3	395	2	257	0	14	42	0	0	257	0
sq28;size=3538;	0	0	0	1258	0	0	0	231	31	0	1145	31	0	447	0	22	0	29	0	0	344	0	0	0	0
sq29;size=3535;	0	0	0	555	0	0	0	504	63	0	515	208	0	372	0	128	0	119	0	0	1037	0	0	34	0
sq30;size=3534;	0	0	0	429	0	0	0	424	145	0	413	44	207	759	0	116	1	236	0	0	756	0	0	4	0
sq31;size=3427;	0	0	0	0	0	0	0	0	93	0	1	1462	280	0	0	350	0	0	0	21	0	0	0	1218	2
sq32;size=3400;	0	0	0	37	0	0	0	1	139	0	29	1593	585	0	0	186	1	26	0	0	0	0	0	801	2
sq33;size=3297;	0	0	0	1217	0	0	0	403	82	0	939	22	27	337	0	17	0	65	0	0	188	0	0	0	0
sq34;size=3282;	0	0	0	0	0	0	0	4	0	0	0	12	2836	0	0	0	1	0	0	0	0	0	0	427	2
sq35;size=3250;	2	0	0	290	0	0	0	245	440	0	259	322	1	383	0	267	0	445	1	0	475	0	0	119	1
sq36;size=3232;	0	0	0	118	0	0	0	258	322	0	110	501	412	128	0	403	0	235	0	0	361	0	1	383	0
sq37;size=3216;	0	1	0	1171	3	0	0	112	103	0	752	57	0	579	0	6	0	2	0	0	426	0	4	0	0
sq38;size=3177;	1	0	0	188	0	0	0	160	136	0	134	191	859	324	0	256	0	408	0	0	320	0	1	198	1
sq39;size=3169;	0	1	0	87	0	0	0	1	406	0	81	602	564	3	0	295	0	197	0	0	1	0	1	930	0
sq40;size=3135;	0	0	0	61	0	0	0	141	630	0	74	296	93	0	0	619	0	84	0	0	123	0	3	1011	0
sq41;size=3134;	0	0	0	111	2	0	0	190	464	0	105	266	0	378	1	223	4	1110	3	0	184	0	4	89	0
sq42;size=3050;	0	0	0	182	0	0	0	385	234	0	209	234	117	468	1	129	0	592	0	0	263	0	1	235	0
sq43;size=2907;	0	0	0	151	0	0	0	48	324	0	134	1456	0	0	0	239	0	199	0	38	0	0	0	318	0
sq44;size=2898;	2	0	0	168	4	1	0	254	256	0	176	278	2	230	0	377	0	587	0	0	286	0	1	276	0
sq45;size=2877;	0	0	0	53	0	0	0	355	434	0	50	75	0	1125	2	114	0	402	0	0	267	0	0	0	0
sq46;size=2842;	1	0	0	271	0	0	0	156	403	0	225	575	58	0	0	277	0	199	0	6	176	0	0	494	1
sq47;size=2648;	0	0	0	1200	0	0	0	72	0	0	1060	44	4	186	0	0	0	0	0	0	82	0	0	0	0
sq48;size=2536;	0	0	0	4	0	0	0	0	494	0	3	1770	0	0	0	115	0	0	0	0	0	0	0	150	0
sq49;size=2496;	0	0	0	0	0	0	0	0	16	0	0	30	2369	0	0	36	0	0	0	0	0	0	2	43	0
sq50;size=2456;	0	0	0	750	0	0	0	244	108	0	573	40	145	517	0	8	0	39	0	0	31	0	0	1	0
sq51;size=2439;	0	0	0	397	0	0	0	455	166	0	376	172	56	116	0	97	0	68	0	0	452	0	0	83	1
sq52;size=2416;	0	0	0	238	0	0	0	402	300	0	216	41	89	523	0	170	0	167	0	0	267	0	0	2	1
sq53;size=2408;	0	0	0	890	0	0	0	174	0	0	759	2	0	281	1	43	0	14	0	0	244	0	0	0	0
sq54;size=2392;	0	0	0	615	0	0	0	290	0	0	525	9	1	458	0	57	0	10	0	0	427	0	0	0	0
sq55;size=2345;	0	0	0	621	0	0	0	360	3	0	384	5	0	758	0	0	0	39	0	0	174	0	0	1	0
sq56;size=2133;	0	0	0	23	1	0	0	62	317	0	20	172	10	6	0	675	0	554	3	0	55	0	0	234	1
sq57;size=2117;	0	0	0	974	0	0	0	53	22	0	580	51	6	335	0	0	2	0	0	0	94	0	0	0	0
sq58;size=2102;	0	0	0	29	0	0	0	268	430	0	32	185	0	408	0	164	1	342	0	0	159	0	0	84	0
sq59;size=2087;	0	0	0	131	0	0	0	62	361	0	152	484	47	28	0	233	0	118	0	0	133	0	0	338	0
sq60;size=2056;	0	0	0	218	0	0	0	1259	5	0	149	13	0	378	0	0	0	28	0	0	4	0	0	0	2
sq61;size=2055;	0	0	0	499	0	0	0	423	132	0	412	30	0	320	0	3	0	45	0	0	190	0	0	0	1
sq62;size=1972;	0	0	0	501	0	0	0	191	0	0	477	0	0	759	0	0	0	0	0	0	43	0	0	0	1
sq63;size=1965;	0	0	0	146	0	0	0	32	174	0	130	675	2	92	0	126	0	141	0	0	58	0	0	389	0
sq64;size=1963;	0	0	0	756	0	0	0	104	0	0	635	6	23	153	0	0	0	24	0	0	262	0	0	0	0
sq65;size=1948;	0	0	0	118	0	1	0	1445	0	0	121	0	1	27	0	1	3	88	0	0	141	0	0	0	2
sq66;size=1935;	0	0	0	33	0	0	0	15	162	0	30	158	452	0	0	716	0	20	0	0	0	0	0	347	2
sq67;size=1867;	0	0	0	326	0	0	0	266	110	0	305	259	1	207	0	77	0	217	0	0	69	0	0	30	0
sq68;size=1851;	0	0	0	151	0	0	0	107	200	0	141	184	353	141	0	77	0	52	0	0	143	0	0	301	1
sq69;size=1831;	0	0	0	577	0	0	0	174	10	0	452	51	14	324	0	61	0	32	0	0	114	0	0	22	0
sq70;size=1819;	0	0	0	0	0	0	0	0	261	0	0	127	2	2	0	983	0	170	0	0	1	0	0	272	1
sq71;size=1818;	0	1	0	0	0	0	0	4	0	0	0	13	1784	0	0	0	0	0	0	0	0	0	0	16	0
sq72;size=1808;	0	0	0	430	0	0	0	233	29	0	299	2	0	398	1	18	1	40	0	0	357	0	0	0	0
sq73;size=1732;	1	0	0	0	0	0	0	0	69	0	0	0	0	88	0	671	0	902	0	0	1	0	0	0	0
sq74;size=1726;	0	0	0	1	0	0	0	91	258	0	0	48	377	0	0	710	0	106	1	0	3	2	0	129	0
sq75;size=1720;	0	0	0	282	0	0	0	491	16	0	232	26	0	320	0	0	0	37	0	0	316	0	0	0	0
sq76;size=1712;	0	0	0	100	0	0	0	313	79	0	68	183	0	365	0	36	0	145	0	0	383	0	3	37	0
sq77;size=1711;	0	0	0	0	0	0	0	31	457	0	0	5	438	0	0	735	0	2	0	0	0	2	0	40	1
sq78;size=1659;	0	0	0	223	0	0	0	8	78	0	119	740	186	10	1	137	0	82	0	0	0	0	0	75	0
sq79;size=1639;	0	0	0	24	0	0	0	52	180	0	33	227	462	2	0	278	0	123	0	0	68	0	4	186	0
sq80;size=1624;	0	0	0	318	0	0	0	93	179	0	294	385	0	8	0	18	0	74	0	0	230	0	2	23	0
sq81;size=1566;	0	0	0	206	0	0	0	100	146	0	168	283	103	67	0	182	0	120	0	0	78	0	0	113	0
sq82;size=1502;	0	0	0	0	0	0	0	2	0	0	0	10	1241	0	0	0	0	0	0	0	0	0	0	249	0
sq83;size=1498;	0	0	0	280	0	0	0	369	0	0	240	2	44	373	0	87	1	76	0	0	25	0	0	1	0
sq84;size=1477;	0	0	0	154	0	0	0	65	156	0	124	335	84	28	0	82	0	80	0	0	23	0	0	346	0
