0BSFd001	0BSFd002	0BSFd003	0BSFd004	0BSFd005	0BSFd006	0BSFd007	0BSFd008	0BSFd009	0BSFd010	0BSFd011	0BSFd012	0BSFd013	0BSFd014	0BSFd015	0BSFd016	0BSFd017	0BSFd018	0BSFd019	0BSFd020	0BSFd021	0BSFd022	0BSFd023	0BSFd024	0BSFd025
sq1;size=102244;	9211	15145	540	2	9981	4441	2	2842	10287	244	3284	1578	493	764	2099	1545	3667	8576	845	4	2256	6436	15012	2990	0
sq2;size=94219;	5397	4934	9648	3	5215	5393	7	4569	6013	1002	4037	5444	1498	1559	2461	4017	2705	2563	3102	3123	5969	1139	7390	7027	4
sq3;size=69880;	3731	3540	7277	1	4957	5218	14	3125	4426	447	2104	2663	948	724	1269	4807	1241	2955	2265	2274	3411	5252	2940	4291	0
sq4;size=54327;	1627	2587	4272	85	4484	1495	843	1035	3222	632	458	2238	219	346	1269	7259	1133	6388	6439	1695	1595	2566	165	2275	0
sq5;size=51816;	2247	2038	2997	0	3370	1211	1	2912	3361	259	1710	1761	464	3689	3971	2245	4138	4944	3847	1285	2758	362	1578	666	2
sq6;size=41731;	103	6	40	0	2733	186	0	3683	139	111	14895	164	1705	10981	166	341	2345	96	150	1	2613	18	1254	1	0
sq7;size=34401;	738	135	95	0	918	0	0	5737	706	28	4334	248	304	6546	816	904	5214	1976	1130	17	2734	143	1665	12	1
sq8;size=28625;	1187	850	940	0	1616	267	2	1330	1829	1	1693	1751	345	2135	2115	759	1391	1787	1439	486	2013	189	3116	1383	1
sq9;size=25598;	1558	1302	656	0	2587	5	2	1265	1407	623	1564	1157	372	1272	931	2484	883	1499	1546	357	836	557	2061	671	3
sq10;size=25149;	572	448	930	0	1141	567	0	1395	1529	196	1324	721	338	2391	2097	990	2510	2113	2138	426	1873	282	946	222	0
sq11;size=21663;	850	449	706	0	714	256	2	1112	1356	10	1398	765	155	2806	2646	344	3387	1240	990	69	1433	110	724	140	1
